Store,Phone,owner/manager's name,notes,Status,CONSOLIDATED_emails_valid,result,BEST_province,BEST_city,BEST_street,BEST_postal_code,INFO_email_status,emails/0,emails/1,email_found,domain,website,location/lat,location/lng,facebooks/0,instagrams/0,tiktoks/0,youtubes/0,
Bark4raw,416-401-4545,,,Not Qualified,guy@bark4raw.com,,,ON,Mississauga,3181 Wolfedale Rd Unit 4,L5C 1V8,,,,guy@bark4raw.com,bark4raw.com,,43.5672824,-79.6402428,https://www.facebook.com/bark4raw,https://www.instagram.com/bark4raw,,
Bark4Raw - Etobicoke South High Park,416-388-9486,,,Not Qualified,,,,ON,Toronto,6 Daniels St,M8Y 1L7,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Bark4Raw%20-%20Etobicoke%20South%20High%20Park&query_place_id=ChIJjcwxDBw3K4gRg3Z0CrnPXE8,43.6296879,-79.4950604,,,,
barking babies,604-647-2275,,,Not Qualified,,,,BC,Vancouver,1188 Homer St,,,,,UNREACHABLE,www.barkingbabies.com,,,,,,,
Bass Pro Shops,"204-786-8966, 905-761-4000",,,Not Qualified,Manager_Toronto_ON@basspro.com,risky,catch_all,MB,Winnipeg,580 Sterling Lyon Pkwy,R3P 1E9,risky,Manager_Toronto_ON@basspro.com,,,basspro.ca,https://stores.basspro.ca/mb/winnipeg/580-sterling-lyon-parkway?y_source=1_OTU0MjMyMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,49.839053,-97.220106,https://www.facebook.com/247920235247900,https://www.instagram.com/cabelascanada,,https://www.youtube.com/@CabelasCanada
BBQ Chicken Danforth,416-461-5666,,,Not Qualified,,,,ON,Toronto,497 Danforth Ave,M4K 1P5,,,,UNREACHABLE,bbqchickenca.com,,43.6779231,-79.349176,,,,
Benjamin's Barkery,604-626-3106,,,Not Qualified,,,,BC,Vancouver,685 W 7th Ave,,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Benjamin's%20Barkery&query_place_id=ChIJ1f1vt0hzhlQR0Y2nZvio_6g,,,,,,
Bill's Farm Supplies Ltd,403-742-8327,,,Not Qualified,,,,AB,Stettler,4004 - 44Th Avenue,T0C 2L0,,,,INVALID_URL,,"https://maps.google.com/maps?q=52.240882,-112.717346",,,,,,
Bird Shop & Aquarium,204-582-1370,,,Not Qualified,,,,MB,Winnipeg,1034 Main St,R2W 3R1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Bird%20Shop%20%26%20Aquarium&query_place_id=ChIJnU3OQXJx6lIR7h-_hPEQsU8,49.914135,-97.132529,,,,
Black Sheep Pet Care,416-841-0925,,,Not Qualified,,,,ON,Toronto,25 San Romanoway,M3N 2Z1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Black%20Sheep%20Pet%20Care&query_place_id=ChIJl0wrgkwxK4gR9GBL3Km8IXk,43.7596164,-79.5171561,,,,
Boa Pooch,382-882-1769,,,Not Qualified,,,,ON,Mississauga,Kirwin Ave,L5A 3R1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Boa%20Pooch&query_place_id=ChIJeSfmKq5HK4gRG94m08-KDuM,43.5845982,-79.6185542,,,,
Bob Moss Shop,,,,Not Qualified,support@bobmoss.shop,,,ON,Kingston,,,,,,support@bobmoss.shop,bobmoss.shop,,44.2545115,-76.4690835,,,,https://www.youtube.com/c/BobMossNanoTanks
Bomber Store,"204-784-7451, 297-691-2167",,,Not Qualified,,,,MB,Winnipeg,315 Chancellor Matheson Rd,R3T 1Z2,,,,NONE_FOUND,thebomberstore.com,,49.8066887,-97.1433388,https://www.facebook.com/BlueBombers,https://www.instagram.com/WpgBlueBombersCFL,,
Boxer puppies for sale,208-435-8776,,,Not Qualified,,,,ON,North York,114 Lord Seaton Rd,M2P 1K9,,,,UNREACHABLE,championboxerkennel.com,,43.7533863,-79.3967018,,,,
BP Raw Inc.,855-826-3535,,,Not Qualified,,,,ON,Scarborough,2167 Victoria Park Ave,M1R 4C1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=BP%20Raw%20Inc.&query_place_id=ChIJSWU_NgDT1IkRKSmG8p_EqPQ,43.7588906,-79.3150077,,,,
Bridle Path Tack Shop,"613-548-8218, 613-477-1515",,,Not Qualified,"kingston@bridlepathtack.com, info@bridlepathtack.com",,,ON,Kingston,1356 Princess St,K7M 3E2,,,kingston@bridlepathtack.com,info@bridlepathtack.com,bridlepathtack.com,,44.2486239,-76.5290083,https://www.facebook.com/BridlePathTackShop,https://instagram.com/bridlepathtackshop,,
Broadview North Pharmacy,"416-422-4899, 866-835-5414",,,Not Qualified,info@broadviewnorthpharmacy.ca,good,ok,ON,East York,1123 Broadview Ave,M4K 2S6,good,info@broadviewnorthpharmacy.ca,,,broadviewnorthpharmacy.com,,43.6871341,-79.355492,,https://www.instagram.com/broadviewnorthpharmacy/,,
Bryan Nieman's Test Store in Toronto,262-242-2200,,,Not Qualified,,,,ON,Toronto,302 Carlaw Ave #122,M4M 3L1,,,,INVALID_URL,,"https://maps.google.com/maps?q=33.23325909445953,-38.2088484",,,,,,
Bryan's Pharmacy,"613-542-7277, 613-542-5799",,,Not Qualified,,,,ON,Kingston,235 Gore Rd,K7K 6N2,,,,NONE_FOUND,bryanspharmacykingston.ca,,44.2581977,-76.4561514,https://www.facebook.com/profile.php?id=100057596974105,,,
C&D Pet Studio North York 🇨🇦,"416-444-3888, 437-818-5555",,,Not Qualified,"cdpetstudio@gmail.com, beachgrooming@cdpetstudio.com",good,ok,ON,North York,10 Mallard Rd Unit C#108,M3B 0A7,good,cdpetstudio@gmail.com,beachgrooming@cdpetstudio.com,,cdpetstudio.com,,43.7482385,-79.3474798,https://www.facebook.com/CDPetStudio,https://www.instagram.com/cdpetstudio,,
CA Pet Food Intolerance,,,,Not Qualified,,,,ON,Toronto,"Two Morneau Shepell Centre, 895 Don Mills Rd. Suite 900",M3C 1W3,,,,NONE_FOUND,canadapetfoodintolerance.com,,43.7271821,-79.3396028,,,,https://youtube.com/embed/auMkIy0JUFQ
Cactus Exotic Foods,416-633-2412,,,Not Qualified,,,,ON,North York,1911 Finch Ave W,M3N 2V2,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Cactus%20Exotic%20Foods&query_place_id=ChIJ_zdDby0wK4gRWZWQ8vhNUKo,43.756772,-79.5150835,,,,
Canada shrimps,647-688-9925,,,Not Qualified,,,,ON,Oshawa,,,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Canada%20shrimps&query_place_id=ChIJZcdYd8Ab1YkR1WxtT7IBcJ0,43.9483569,-78.878351,,,,
Candy Corals,905-625-2394,,,Not Qualified,"arielle@candycorals.ca, candycorals.ca@gmail.com, jessica@candycorals.ca, katy@candycorals.ca",,,ON,Mississauga,1260 Fewster Dr Unit #9,L4W 1A5,,,arielle@candycorals.ca,"arielle@candycorals.ca, candycorals.ca@gmail.com, jessica@candycorals.ca, katy@candycorals.ca",candycorals.ca,,43.6292058,-79.618104,https://www.facebook.com/candycorals.ca,https://www.instagram.com/candycorals,,
Canvas Cannabis,416-778-8270,,,Not Qualified,projects@lifelike.digital,good,ok,ON,Toronto,730 Danforth Ave,M4J 1L5,good,projects@lifelike.digital,,,canvascannabis.ca,,43.6794586,-79.3429536,https://www.facebook.com/canvasretail,https://www.instagram.com/canvas.cannabis,,
Castle Canine Styles,416-909-3174,,,Not Qualified,groomer.sheila@gmail.com,good,ok,ON,Toronto,"Operating out of Pet Valu, 1560 Yonge St",M4T 1Z7,good,groomer.sheila@gmail.com,,,castlecaninestyles.com,,43.6894573,-79.3950643,https://www.facebook.com/CastleCanineStyles,https://www.instagram.com/groomer.sheila,,
Catoro Cafe,604-423-2987,,,Not Qualified,info@catoropets.com,,,BC,Vancouver,666 E Broadway,,,,,info@catoropets.com,catoropets.com,,,,,,,
CATP Kingston,613-545-2324,,,Not Qualified,,,,ON,Kingston,7 Hickson Ave,K7K 2N4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=CATP%20Kingston&query_place_id=ChIJdd4bTcir0kwRakjec2cnECg,44.2532225,-76.4851498,,,,
CATWANT,204-296-5305,,,Not Qualified,,,,MB,Winnipeg,Willowbend Crescent,R2N 1V1,,,,UNREACHABLE,catwant.ca,,49.8100375,-97.1054038,https://www.facebook.com/profile.php?id=61567206608832,https://www.instagram.com/catwant_northamerica,https://www.tiktok.com/@catwantnorthamerica,
Celebrity Products Inc,"416-645-0202, 866-639-2377",,,Not Qualified,info@celebcorp.com,,,ON,Toronto,500 Keele St,M6N 3C9,,,,info@celebcorp.com,celebcorp.com,,43.6687741,-79.4667865,https://www.facebook.com/celebrity.chewmasters,https://www.instagram.com/chewmasters,,
Central Pet Inc,416-750-0277,,,Not Qualified,support@centralpetinc.com,,,ON,Scarborough,"Southwest Corner of Warden and Eglinton, 1921 Eglinton Ave E Unit 8A",M1L 2L6,,,,support@centralpetinc.com,centralpetinc.com,https://centralpet.ca/,43.7270098,-79.2882255,,,,
CinDen Pharmacy Scurfield,204-488-1819,,,Not Qualified,,,,MB,Winnipeg,123 A Scurfield Blvd.,R3Y 1L6,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=CinDen%20Pharmacy%20Scurfield&query_place_id=ChIJjRY6thJ16lIRm4C1NM_ewhk,49.8171382,-97.1944217,,,,
City Pharmacy Remedy'sRx,416-469-1898,,,Not Qualified,,,,ON,Toronto,238 Danforth Ave,M4K 1N4,,,,NONE_FOUND,citypharmacy.ca,,43.6770752,-79.3553969,,,,
Classy Clips Inc.,204-837-8140,,,Not Qualified,user@domain.com,,,MB,Winnipeg,3414 Roblin Blvd,R3R 0C7,,,,user@domain.com,classyclips.ca,,,,,,,
Cleary Feed and Seed,613-658-2745,,,Not Qualified,info@cleary.shop,,,ON,Spencerville,3020 County Rd 21,K0E 1X0,,,,info@cleary.shop,clearyfeedandseed.ca,,,,,,,
Clippingdale's Salon For Pets,519-979-8822,,,Not Qualified,,,,ON,Windsor,13255 Tecumseh Road East,N8N 3T4,,,,UNREACHABLE,clippingdalessalon.com,,,,,,,
Clovertail,778-668-3224,,,Not Qualified,,,,ON,Toronto,1 Front St W,M5J 2X5,,,,NONE_FOUND,clovertail.co,,43.6459904,-79.3776174,,,,
Concept-Pet,416-558-0642,,,Not Qualified,,,,ON,Toronto,552 Wellington St W #1405,M5V 2V5,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Concept-Pet&query_place_id=ChIJaf9Kwt80K4gRGO9B4BoLxo4,43.6431423,-79.4016062,,,,
Concrete Blonde Aquatics,204-669-0718,,,Not Qualified,info@cbaquatics.ca,good,ok,MB,Winnipeg,"H, 359 Johnson Ave W",R2L 0J2,good,info@cbaquatics.ca,,,cbaquatics.ca,,49.9114608,-97.1050414,https://www.facebook.com/ConcreteBlondeAquatics,https://www.instagram.com/concrete_blonde_aquatics,,
Coral Factory,647-261-7020,,,Not Qualified,,,,ON,North York,1630 Lawrence Ave W,M6L 1C5,,,,NONE_FOUND,coralfactory.ca,,43.7062778,-79.491622,,https://www.instagram.com/_coral__factory_,,
Cosmo Pharmacy,"416-231-4446, 519-265-6002",,,Not Qualified,Cosmopharmacyteam@gmail.com,good,ok,ON,Etobicoke,3101 Bloor St W,M8X 2W2,good,Cosmopharmacyteam@gmail.com,,,cosmopharmacy.ca,,43.6461677,-79.5154212,https://www.facebook.com/Cosmo-pharmacy-113430270460437,,,
Custom Pet Boutique,403-295-1637,Frank and Michelle,,Not Qualified,,,,AB,Calgary,120 MacEwan Park Rise Northwest,T3K 4A1,,,,INVALID_URL,,"https://maps.google.com/maps?q=51.1350336,-114.1210359",,,,,,
Dan's Pet Shop Inc,"416-895-4489, 416-658-4489",,Not a Pet Store,Not Qualified,"DAN@PETSHOPPRODUCTIONS.COM, dan@petshopproductions.com",,,ON,Toronto,1 Wiltshire Ave,M6N 2V7,,,,"DAN@PETSHOPPRODUCTIONS.COM, dan@petshopproductions.com",petshopproductions.com,,43.6677574,-79.4504952,https://www.facebook.com/Pet-Shop-Productions-236449813208039,,,
Danforth Central Pharmacy,416-778-8800,,,Not Qualified,,,,ON,Toronto,1188 Danforth Ave,M4J 1M3,,,,NONE_FOUND,outerreaches.space,http://danforthwalkinclinic.com/,43.6816,-79.3325586,,,,
Danforth Medical Pharmacy,416-469-1100,,,Not Qualified,,,,ON,Toronto,1156 Danforth Ave,M4J 1M3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Danforth%20Medical%20Pharmacy&query_place_id=ChIJBbxxPX3M1IkR4EVu-d9mrvo,43.6814233,-79.3333927,,,,
Dante's Closet,647-451-9949,,,Not Qualified,,,,ON,Etobicoke,3320 Lake Shore Blvd W,M8W 1M9,,,,NONE_FOUND,dantescloset.ca,,43.5965974,-79.5252092,https://www.facebook.com/dantescloset.ca,https://www.instagram.com/dantescloset.ca,https://www.tiktok.com/@dantescloset,
Dear My Puppy,"416-597-3188, 647-469-9631",,,Not Qualified,"dearmypuppies@gmail.com, dearmypuppies2@gmail.com, impallari@gmail.com",,,ON,Toronto,78 St Patrick St Unit 114,M5T 2X6,,,dearmypuppies@gmail.com,"dearmypuppies2@gmail.com, dearmypuppies@gmail.com, impallari@gmail.com",dearmypuppies.com,,43.6525069,-79.3898017,,https://www.instagram.com/dearmypuppies2,,
DearPup,,,,Not Qualified,,,,ON,Toronto,8 Gloucester St #2004,M4Y 0H8,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=DearPup&query_place_id=ChIJr_t2jzY1K4gR6SIihhxQJKo,43.6668653,-79.3847929,,,,
Derry Village Spaw,905-216-1055,,,Not Qualified,info@derryvillagespaw.com,,,ON,Mississauga,7070 St Barbara Blvd Suite 56,L5W 0E6,,,,info@derryvillagespaw.com,derryvillagespaw.com,,,,,,,
Designer Mutts By Laura,403-936-8731,,,Not Qualified,,,,AB,Rocky View,"#6, 720 Centre St Ne",T0J 1X1,,,,INVALID_URL,,"https://maps.google.com/maps?q=50.978997,-113.677173",,,,,,
Dineen Outpost,"416-924-7515, 416-900-0949",,,Not Qualified,info@dineencoffee.com,risky,catch_all,ON,Toronto,1042 Gerrard St E,M4M 1Z5,risky,info@dineencoffee.com,,,dineencoffee.com,,43.6690772,-79.3367466,https://www.facebook.com/dineencoffee,https://instagram.com/dineencoffeeco,,
Discount Dragon Aquarium,905-306-7127,,,Not Qualified,,,,ON,Mississauga,888 Dundas St E,L4Y 4G6,,,,INVALID_URL,,https://www.facebook.com/discountdragonaquarium,43.5985092,-79.5952489,,,,
Dofu Cat,,,,Not Qualified,meow@dofucat.com,,,BC,Vancouver,"MAILING ADDRESS ONLY, 1857 W 4th Ave #192",,,,,meow@dofucat.com,www.dofucat.com,,,,,,,
Dragon King,416-292-0885,,,Not Qualified,,,,ON,Scarborough,,M1V 5N1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Dragon%20King&query_place_id=ChIJPd7viwbU1IkREQCPMfJppeU,43.8252617,-79.2983638,,,,
Dragon Supermarket,416-461-5378,,,Not Qualified,,,,ON,Toronto,1361 Danforth Ave,M4J 4N8,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Dragon%20Supermarket&query_place_id=ChIJ2U4JtWTM1IkRjgCRIuWoi9g,43.682187,-79.3284947,,,,
Drug Basics Pharmacy,416-463-7697,,,Not Qualified,,,,ON,Toronto,1068 Danforth Ave,M4J 1M2,,,,NONE_FOUND,drugbasicspharmacy.ca,,43.6809523,-79.3356327,,,,
DTAquarium,647-738-5133,,,Not Qualified,,,,ON,Toronto,1596 Queen St E,M4L 1E5,,,,NONE_FOUND,dtaquarium.ca,,43.6663041,-79.317365,,,,
Duke’s Dashing Designs,204-619-3571,,,Not Qualified,,,,,,,,,,,INVALID_URL,jigsewco.com,https://www.google.com/maps/search/?api=1&query=Duke%E2%80%99s%20Dashing%20Designs&query_place_id=ChIJWUpA39H1wkURvnQHQLUi2ws,49.8537806,-97.1528398,https://www.facebook.com/JigsewCo,https://www.instagram.com/jigsew_co,,
Dulce Milay,647-674-2701,,,Not Qualified,dulcemilay@gmail.com,,,ON,East York,205 Cosburn Ave.,M4J 2L4,,,,dulcemilay@gmail.com,dulcemilay.com,,43.6900634,-79.3439098,https://www.facebook.com/dulcemilayofficial,https://www.instagram.com/dulcemilay,,https://www.youtube.com/channel/UCLwUV3xuXE0XHQ3SN--_QhA
Dundas Kipling Pharmacy,"416-233-2222, 416-233-4639",,,Not Qualified,dundaskipling@gmail.com,good,ok,ON,Etobicoke,5359 Dundas St W,M9B 1B3,good,dundaskipling@gmail.com,,,dundaskiplingpharmacy.ca,,43.635745,-79.5399288,,https://www.instagram.com/dundas_kipling_pharmacy,,
Earth Echoes,416-389-3143,,,Not Qualified,,,,ON,Toronto,52 St Lawrence St,M5A 3N1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Earth%20Echoes&query_place_id=ChIJGyG2t2Y0K4gRRoy4OxMUFSs,43.6558483,-79.3567513,,,,
Elgin Feeds Ltd.,519-773-8481,,,Not Qualified,sales@countrymills.ca,,,ON,West Aylmer,26 Beech St. W,N5H 1A1,,,,sales@countrymills.ca,elginfeeds.com,,,,,,,
Elite Pets Inc.,866-721-3750,,,Not Qualified,,,,ON,Scarborough,21 Cosentino Dr,M1P 3A3,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Elite%20Pets%20Inc.&query_place_id=ChIJ54FyL5jR1IkR3rgmqFVPhQo,43.7716499,-79.2698418,,,,
Environmental Aquatic Services Ltd,"204-957-7540, 204-957-0081",,,Not Qualified,easi@mts.net,good,ok,MB,Winnipeg,290 McDermot Ave,R3B 0T2,good,easi@mts.net,,,aquaticservice.biz,,49.897473,-97.142216,,,,
Equispoke,647-553-1927,,,Not Qualified,contact@equispoke.com,good,ok,ON,Oshawa,1326 Kettering Dr,L1K 3A9,good,contact@equispoke.com,,,equispoke.com,,43.9238658,-78.8226467,https://www.facebook.com/profile.php?id=61551704103457,https://Instagram.com/Equispoke,,
Even-Spray & Chemicals Ltd,"204-237-9095, 204-231-0710",,,Not Qualified,"info@evenspray.com, chris@evenspray.com",good,ok,MB,Winnipeg,851 Lagimodiere Blvd,R2J 3K4,good,info@evenspray.com,chris@evenspray.com,,evenspray.com,,49.8773675,-97.0713974,,,,
Exotic Pets Toronto,416-826-7079,,,Not Qualified,,,,ON,Scarborough,4190 Kingston Rd,M1E 4W1,,,,INVALID_URL,,https://www.instagram.com/exoticpetstoronto/?hl=en,43.7596038,-79.1981973,,,,
Farmer Jane Cannabis Co.,"204-452-7717, 778-888-8841",,,Not Qualified,info@farmerjane.ca,,,MB,Winnipeg,1194 Taylor Ave #1,R3M 3Z4,,,,info@farmerjane.ca,farmerjane.ca,,49.8522619,-97.1671833,https://www.facebook.com/farmerjane.ca,https://www.instagram.com/farmerjaneofficial,,https://www.youtube.com/channel/UChNsewTEKQuQwYopNZtngNA
FBA,,,,Not Qualified,,,,ON,North York,634 Glengrove Ave W,M6B 2J1,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=FBA&query_place_id=ChIJV9JrgLIzK4gRu0qeGFTQ1tA,43.7119934,-79.4397965,,,,
Feeds'n Needs (Shur-Gain),"506-633-7272, 902-893-3186",,,Not Qualified,contact@feedsnneeds.ca,,NB,Saint John,354 Rothesay Ave,E2J 2C4,,,,contact@feedsnneeds.ca,feedsnneeds.ca,,45.2973917,-66.0389869,,,,,
Fetch & Collar,,,,Not Qualified,,,,ON,Toronto,19 Western Battery Rd,M6K 0E3,,,,UNREACHABLE,fetchcollar.shop,,43.6397197,-79.4113714,,,,
Fidel Disponsable Cakes Canada,510-842-3698,,,Not Qualified,,,,MB,Winnipeg,906 Main St,R2W 3P3,,,,NONE_FOUND,buyexoticpetsonline.com,,49.9107465,-97.1332006,,,,
Finaddicts,613-634-3474,,,Not Qualified,,,,ON,Kingston,840 Gardiners Rd,K7M 3X9,,,,NONE_FOUND,finaddicts.ca,,44.2528758,-76.5678791,https://www.facebook.com/Finaddicts-112842138755576,https://www.instagram.com/Finaddicts840,,
Fish Gallery,204-944-8303,,,Not Qualified,fishgallery.wpg@gmail.com,good,ok,MB,Winnipeg,959 Main St,R2W 3P4,good,fishgallery.wpg@gmail.com,,,fishgallery.ca,,49.9115218,-97.1324465,https://www.facebook.com/fishgallerywpg,https://www.instagram.com/fishgallery_wpg,,https://www.youtube.com/channel/UCLlWATHOUAEGK91vcyI1noQ
Flow Canine Wellness,905-301-4064,,,Not Qualified,flowcanine@gmail.com,,,ON,Toronto,227 Fern Ave,M6R 1K5,,,,flowcanine@gmail.com,flowcanine.com,,43.6440761,-79.4496158,https://www.facebook.com/Flow-Canine-Wellness-504180126427487,https://www.instagram.com/flowcanine,,
"Foodland - Toronto, Danforth","416-466-5371, 416-233-0621",,,Not Qualified,customer.service@sobeys.com,risky,catch_all,ON,Toronto,623 Danforth Ave,M4K 1R2,risky,customer.service@sobeys.com,,,foodland.ca,,43.67865,-79.345674,https://www.facebook.com/OntarioFoodland,https://www.instagram.com/foodland_on,,
Fragbox Corals,416-265-8481,,,Not Qualified,,,,ON,North York,588 Marlee Ave,M6B 3J5,,,,NONE_FOUND,fragbox.ca,,43.7092771,-79.4442164,,,,https://www.youtube.com/embed/V8JqzZgTF-8
Frenchie’s Doughnuts,416-231-0008,,,Not Qualified,frenchiesdoughnuts@gmail.com,good,ok,ON,Etobicoke,3830 Bloor St W,M9B 1K8,good,frenchiesdoughnuts@gmail.com,,,frenchiesdoughnuts.ca,,43.6415098,-79.5379824,https://www.facebook.com/FrenchiesDoughnuts-100294352370745,https://www.instagram.com/frenchiesdoughnuts,,
fresh hay warehouse,,,,Not Qualified,,,,ON,North York,168A Oakdale Rd #6B,M3N 2S5,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=fresh%20hay%20warehouse&query_place_id=ChIJr_61bAAxK4gRcSVgD0ZeGuk,43.7444911,-79.5267436,,,,
FreshCo Pembina & McGillivray,"204-284-3824, 204-663-6862",,,Not Qualified,,,,MB,Winnipeg,1615 Regent Ave W #500,R3T 2B6,,,,UNREACHABLE,freshco.com,,49.840333,-97.154138,,,,
Freshco St Anne's & Niakwa,204-256-9430,,,Not Qualified,,,,MB,Winnipeg,2 Alpine Ave,R2M 0Y5,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Freshco%20St%20Anne's%20%26%20Niakwa&query_place_id=ChIJUXyaIDp36lIRN_ua6Xrajhk,49.855021,-97.102072,,,,
Friendly Stranger Cannabis Culture Shop | Toronto (Danforth Ave) Weed Store,647-374-5410,,,Not Qualified,,,,ON,Toronto,283 Danforth Ave,M4K 1N2,,,,UNREACHABLE,friendlystranger.com,,43.6768603,-79.3544038,,,,
From Ginger With Love,,,,Not Qualified,,,,ON,North York,,M3H 5S4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=From%20Ginger%20With%20Love&query_place_id=ChIJUXh8kEctK4gRq2tvnzcc_74,43.776676,-79.4661697,,,,
Fruitland,647-351-0833,,,Not Qualified,,,,ON,Toronto,458 Danforth Ave,M4K 1T4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Fruitland&query_place_id=ChIJ832zQpzM1IkRWYs9Ez7Zxp4,43.6780943,-79.3501595,,,,
FunGuyz - Magic Mushroom Dispensary,"289-802-6742, 437-849-2044",,,Not Qualified,,,,ON,Toronto,294a Danforth Ave,M4K 1P9,,,,NONE_FOUND,funguyzcanada.com,,43.6773038,-79.3541548,https://www.facebook.com/profile.php?id=61557068934411,https://www.instagram.com/funguyz.shrooms,,
FUR BAR,"416-366-7729, 801-201-1059",,,Not Qualified,"northyork@furbar.ca, newmarket@furbar.ca, toronto@furbar.ca, user@domain.com",,,ON,Toronto,844 King St W,M5V 1P1,,,northyork@furbar.ca,"newmarket@furbar.ca, northyork@furbar.ca, toronto@furbar.ca, user@domain.com",furbar.ca,,43.6429175,-79.4083798,http://www.facebook.com/furBarPetGrooming,https://www.instagram.com/furbar.newmarket,,
furdog Canada,,,,Not Qualified,,,,ON,Etobicoke,5101 Dundas St W,M9A 5G8,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=furdog%20Canada&query_place_id=ChIJm-NjpKQ3K4gRypkH29cYbZk,43.6449121,-79.5317338,,,,
Gaudaur Natural Foods,705-325-7143,,,Not Qualified,info@gaudaur.com,,,ON,Orillia,17 Andrew St North,L3V 5H9,,,,info@gaudaur.com,gaudaur.com,,,,,,,
George's NOFRILLS Toronto Broadview,"416-778-8762, 613-530-3861",,,Not Qualified,,,,ON,Toronto,720 Broadview Ave,M4K 2P1,,,,UNREACHABLE,loblaws.ca,,43.675544,-79.35825,,,,
Gilligallou Bird - Almonte,613-461-7333,,Bird Store Only,Not Qualified,,,,ON,Almonte,14 Mill St,K0A 1A0,,,,UNREACHABLE,gilligalloubird.com,,,,,,,
GK9 Gear,416-297-1077,,,Not Qualified,,,,ON,Toronto,643 McCowan Rd,M1J 1K2,,,,NONE_FOUND,gk9gear.com,,43.7536849,-79.2442023,,,,
Good Boy Collective,604-873-5500,,,Not Qualified,,,,BC,Vancouver,3633 Main St,,,,,UNREACHABLE,www.shopgoodboy.com,,,,,,,
Grand Erie Farm & Country Home Hardware,905-774-7568,,,Not Qualified,"andy@granderie.net, apge@granderie.net, arge@gardencityhh.ca, avrielle@granderie.net, cheryl@granderie.net, dengelage@granderie.net, dkenney@granderie.net, dkorten@granderie.net, dwildfong@granderie.net, heidi@granderie.net",,,ON,Dunnville,1051 Broad St East,N1A 2Z1,,,,"andy@granderie.net, apge@granderie.net, arge@gardencityhh.ca, avrielle@granderie.net, cheryl@granderie.net, dengelage@granderie.net, dkenney@granderie.net, dkorten@granderie.net, dwildfong@granderie.net, heidi@granderie.net",granderiehomehardware.ca,,,,,,,
Greenwood Food Market,416-461-4831,,,Not Qualified,,,,ON,Toronto,247 Greenwood Ave,M4L 2R4,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Greenwood%20Food%20Market&query_place_id=ChIJD9WbEIfL1IkRwsZF8P49LwM,43.6707781,-79.3277873,,,,
Greenwood Pharmacy,416-466-3606,,,Not Qualified,,,,ON,Toronto,1285 Gerrard St E,M4L 1Y5,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Greenwood%20Pharmacy&query_place_id=ChIJE6T3F4fL1IkRTX4JZzCz_vI,43.6707362,-79.3281799,,,,
Grey Parrot,213-973-2576,,,Not Qualified,"info@majesticwingsaviary.com, john@doe.com",,,ON,Etobicoke,"Suite 400, 200 Ronson Dr",M9W 5Z9,,,,"info@majesticwingsaviary.com, john@doe.com",majesticwingsaviary.com,,43.6940587,-79.5695638,,,,
GTA-K9,647-525-6554,,,Not Qualified,"micah@micahrich.com, trush1997desai@gmail.com",,,ON,Etobicoke,"GTA-K9, Alanmeade Crescent",M9B 2H3,,,,"micah@micahrich.com, trush1997desai@gmail.com",gta-k9.ca,,43.6547434,-79.5575659,,,,
Guinnesso's Treats,647-786-2881,,,Not Qualified,,,,ON,North York,135 Fenelon Dr,M3A 3K8,,,,NONE_FOUND,guinnessostreats.com,,43.7629965,-79.3380196,,,,
Half Price Store,437-837-0084,,,Not Qualified,,,,ON,Etobicoke,3825 Bloor St W Lower level,M9B 1K9,,,,UNREACHABLE,halfpricestore.ca,,43.6410823,-79.5376242,,,,
Happy Hound,613-253-5535,,,Not Qualified,info@happyhound.ca,,,ON,Ashton,2150 Dwyer Hill Road,K0A 1B0,,,,info@happyhound.ca,happyhound.ca,,,,,,,
